"short_name","full_name","pathway","container","product_pathway","product_subpathway"
"AirportAircraftPersonCBP_bag_oth_ani","Airport___Aircraft___Person___CBP_baggage_other_products_animal_based_feed","Airport - Aircraft - Person - CBP","baggage","other products","animal-based feed"
"AirportAircraftPersonCBP_bag_swi_per","Airport___Aircraft___Person___CBP_baggage_swine_products_by_products_personal_use_or_consumption","Airport - Aircraft - Person - CBP","baggage","swine products/by-products","personal use or consumption"
"AirportAircraftPersonCBP_bag_swi_smu","Airport___Aircraft___Person___CBP_baggage_swine_products_by_products_smuggled_commercial_products","Airport - Aircraft - Person - CBP","baggage","swine products/by-products","smuggled commercial products"
"AirportAircraftPersonPreClearan_bag_oth_ani","Airport___Aircraft___Person___Pre_Clearance_baggage_other_products_animal_based_feed","Airport - Aircraft - Person - Pre-Clearance","baggage","other products","animal-based feed"
"AirportAircraftPersonPreClearan_bag_swi_per","Airport___Aircraft___Person___Pre_Clearance_baggage_swine_products_by_products_personal_use_or_consumption","Airport - Aircraft - Person - Pre-Clearance","baggage","swine products/by-products","personal use or consumption"
"Expresscourier_pac_oth_uns","Express_courier_package_other_products_unspecified_feed","Express_courier","package","other products","unspecified feed"
"Expresscourier_pac_swi_per","Express_courier_package_swine_products_by_products_personal_use_or_consumption","Express_courier","package","swine products/by-products","personal use or consumption"
"Expresscourier_pac_swi_smu","Express_courier_package_swine_products_by_products_smuggled_commercial_products","Express_courier","package","swine products/by-products","smuggled commercial products"
"LandBorderTruckConveyanceCBPNB_bag_swi_per","Land_Border___Truck___Conveyance___CBP_NB_baggage_swine_products_by_products_personal_use_or_consumption","Land Border - Truck - Conveyance - CBP NB","baggage","swine products/by-products","personal use or consumption"
"MaritimePortVesselCargoCBP_con_oth_ani","Maritime_Port___Vessel___Cargo___CBP_container_other_products_animal_based_feed","Maritime Port - Vessel - Cargo - CBP","container","other products","animal-based feed"
"MaritimePortVesselCargoCBP_con_swi_com","Maritime_Port___Vessel___Cargo___CBP_container_swine_products_by_products_commercial","Maritime Port - Vessel - Cargo - CBP","container","swine products/by-products","commercial"
"MaritimePortVesselMailCBP_pac_oth_ani","Maritime_Port___Vessel___Mail___CBP_package_other_products_animal_based_feed","Maritime Port - Vessel - Mail - CBP","package","other products","animal-based feed"
"MaritimePortVesselMailCBP_pac_swi_per","Maritime_Port___Vessel___Mail___CBP_package_swine_products_by_products_personal_use_or_consumption","Maritime Port - Vessel - Mail - CBP","package","swine products/by-products","personal use or consumption"
